Red
Timestamp,Enabled,Vision,X,Y,Rotation
267.1291,0,0,0.79,0.01,1.07
267.1592,0,0,0.79,0.01,1.07
267.2577,0,0,0.79,0.01,1.07
267.3662,0,0,0.79,0.01,1.07
267.4662,0,0,0.79,0.01,1.07
267.5662,0,0,0.79,0.01,1.07
267.6663,0,0,0.79,0.01,1.07
267.7662,0,0,0.79,0.01,1.07
267.8663,0,0,0.79,0.01,1.07
267.9661,0,0,0.79,0.01,1.07
268.0663,0,0,0.79,0.01,1.07
268.1661,0,0,0.79,0.01,1.07
268.2661,0,0,0.79,0.01,1.08
268.3663,0,0,0.79,0.01,1.08
268.4661,0,0,0.79,0.01,1.08
268.5662,0,0,0.79,0.01,1.08
268.7461,0,0,0.79,0.01,1.07
268.7781,0,0,0.79,0.01,1.07
268.8661,0,0,0.79,0.01,1.07
268.9661,0,0,0.79,0.01,1.07
269.0663,0,0,0.79,0.01,1.07
269.1662,0,0,0.79,0.01,1.07
269.2664,0,0,0.79,0.01,1.06
269.3664,0,0,0.79,0.01,1.06
269.4664,0,0,0.79,0.01,1.06
269.5662,0,0,0.79,0.01,1.07
269.6662,0,0,0.79,0.01,1.07
269.7661,0,0,0.79,0.01,1.07
269.8663,0,0,0.79,0.01,1.07
269.9664,0,0,0.79,0.01,1.07
270.0664,0,0,0.79,0.01,1.08
270.1663,0,0,0.79,0.01,1.07
270.2663,0,0,0.79,0.01,1.07
270.3663,0,0,0.79,0.01,1.07
270.4663,0,0,0.79,0.01,1.08
270.5663,0,0,0.79,0.01,1.07
270.6662,0,0,0.79,0.01,1.08
270.7662,0,0,0.79,0.01,1.08
270.8662,0,0,0.79,0.01,1.08
270.9663,0,0,0.79,0.01,1.08
271.0662,0,0,0.79,0.01,1.08
271.1665,0,0,0.79,0.01,1.08
271.2663,0,0,0.79,0.01,1.09
271.3664,0,0,0.79,0.01,1.09
271.4665,0,0,0.79,0.01,1.09
271.5663,0,0,0.79,0.01,1.10
271.6662,0,0,0.79,0.01,1.10
271.7661,0,0,0.79,0.01,1.10
271.8663,0,0,0.79,0.01,1.10
271.9661,0,0,0.79,0.01,1.10
272.0662,0,0,0.79,0.01,1.10
272.1662,0,0,0.79,0.01,1.11
272.2663,0,0,0.79,0.01,1.11
272.3662,0,0,0.79,0.01,1.11
272.4663,0,0,0.79,0.01,1.11
272.5663,0,0,0.79,0.01,1.10
272.6663,0,0,0.79,0.01,1.10
272.7663,0,0,0.79,0.01,1.11
272.8663,0,0,0.79,0.01,1.11
272.9663,0,0,0.79,0.01,1.11
273.0664,0,0,0.79,0.01,1.11
273.1662,0,0,0.79,0.01,1.11
273.2663,0,0,0.79,0.01,1.11
273.3662,0,0,0.79,0.01,1.11
273.4661,0,0,0.79,0.01,1.11
273.5665,0,0,0.79,0.01,1.10
273.6663,0,0,0.79,0.01,1.11
273.7662,0,0,0.79,0.01,1.11
273.8663,0,0,0.79,0.01,1.10
273.9661,0,0,0.79,0.01,1.11
274.0663,0,0,0.79,0.01,1.11
274.1662,0,0,0.79,0.01,1.10
274.2662,0,0,0.79,0.01,1.10
274.3663,0,0,0.79,0.01,1.10
274.4662,0,0,0.79,0.01,1.11
274.5662,0,0,0.79,0.01,1.11
274.6663,0,0,0.79,0.01,1.11
274.7665,0,0,0.79,0.01,1.11
274.8663,0,0,0.79,0.01,1.11
274.9662,0,0,0.79,0.01,1.11
275.0665,0,0,0.79,0.01,1.11
275.1662,0,0,0.79,0.01,1.11
275.2663,0,0,0.79,0.01,1.11
275.3662,0,0,0.79,0.01,1.11
275.4666,0,0,0.79,0.01,1.12
275.5662,0,0,0.79,0.01,1.12
275.6663,0,0,0.79,0.01,1.12
275.7663,0,0,0.79,0.01,1.12
275.8661,0,0,0.79,0.01,1.12
275.9662,0,0,0.79,0.01,1.12
276.0661,0,0,0.79,0.01,1.12
276.1661,0,0,0.79,0.01,1.12
276.2663,0,0,0.79,0.01,1.12
276.3661,0,0,0.79,0.01,1.12
276.4663,0,0,0.79,0.01,1.12
276.5662,0,0,0.79,0.01,1.12
276.6662,0,0,0.79,0.01,1.12
276.7662,0,0,0.79,0.01,1.12
276.8661,0,0,0.79,0.01,1.12
276.9664,0,0,0.79,0.01,1.12
277.0663,0,0,0.79,0.01,1.12
277.1661,0,0,0.79,0.01,1.13
277.2661,0,0,0.79,0.01,1.13
277.3661,0,0,0.79,0.01,1.13
277.4662,0,0,0.79,0.01,1.13
277.5663,0,0,0.79,0.01,1.13
277.6664,0,0,0.79,0.01,1.13
277.7662,0,0,0.79,0.01,1.13
277.8662,0,0,0.79,0.01,1.13
277.9663,0,0,0.79,0.01,1.13
278.0663,0,0,0.79,0.01,1.14
278.1664,0,0,0.79,0.01,1.14
278.2661,0,0,0.79,0.01,1.14
278.3663,0,0,0.79,0.01,1.13
278.4665,0,0,0.79,0.01,1.13
278.5662,0,0,0.79,0.01,1.14
278.6663,0,0,0.79,0.01,1.14
278.7663,0,0,0.79,0.01,1.14
278.8664,0,0,0.79,0.01,1.14
278.9662,0,0,0.79,0.01,1.14
279.0661,0,0,0.79,0.01,1.14
279.1663,0,0,0.79,0.01,1.14
279.2662,0,0,0.79,0.01,1.14
279.3663,0,0,0.79,0.01,1.14
279.4662,0,0,0.79,0.01,1.14
279.5662,0,0,0.79,0.01,1.14
279.6664,0,0,0.79,0.01,1.15
279.7663,0,0,0.79,0.01,1.15
279.8666,0,0,0.79,0.01,1.14
279.9663,0,0,0.79,0.01,1.14
280.0663,0,0,0.79,0.01,1.15
280.1663,0,0,0.79,0.01,1.15
280.2665,0,0,0.79,0.01,1.15
280.3662,0,0,0.79,0.01,1.15
280.4663,0,0,0.79,0.01,1.15
280.5662,0,0,0.79,0.01,1.15
280.6664,0,0,0.79,0.01,1.15
280.7662,0,0,0.79,0.01,1.15
280.8666,0,0,0.79,0.01,1.15
280.9664,0,0,0.79,0.01,1.15
281.0662,0,0,0.79,0.01,1.15
281.1664,0,0,0.79,0.01,1.15
281.2662,0,0,0.79,0.01,1.15
281.3663,0,0,0.79,0.01,1.15
281.4664,0,0,0.79,0.01,1.15
281.5663,0,0,0.79,0.01,1.15
281.6662,0,0,0.79,0.01,1.16
281.7663,0,0,0.79,0.01,1.15
281.8662,0,0,0.79,0.01,1.16
281.9664,0,0,0.79,0.01,1.15
282.0661,0,0,0.79,0.01,1.15
282.1662,0,0,0.79,0.01,1.15
282.2663,0,0,0.79,0.01,1.15
282.3665,0,0,0.79,0.01,1.15
282.4663,0,0,0.79,0.01,1.15
282.5661,0,0,0.79,0.01,1.16
282.6662,0,0,0.79,0.01,1.16
282.7664,0,0,0.79,0.01,1.16
282.8661,0,0,0.79,0.01,1.15
282.9664,0,0,0.79,0.01,1.15
283.0663,0,0,0.79,0.01,1.16
283.1663,0,0,0.79,0.01,1.15
283.2663,0,0,0.79,0.01,1.15
283.3663,0,0,0.79,0.01,1.15
283.4662,0,0,0.79,0.01,1.15
283.5662,0,0,0.79,0.01,1.16
283.6663,0,0,0.79,0.01,1.16
283.7661,0,0,0.79,0.01,1.16
283.8662,0,0,0.79,0.01,1.16
283.9662,0,0,0.79,0.01,1.16
284.0662,0,0,0.79,0.01,1.16
284.1663,0,0,0.79,0.01,1.16
284.2661,0,0,0.79,0.01,1.16
284.3661,0,0,0.79,0.01,1.16
284.4662,0,0,0.79,0.01,1.16
284.5663,0,0,0.79,0.01,1.16
284.6662,0,0,0.79,0.01,1.16
284.7667,0,0,0.79,0.01,1.16
284.8663,0,0,0.79,0.01,1.16
284.9661,0,0,0.79,0.01,1.16
285.0662,0,0,0.79,0.01,1.16
285.1664,0,0,0.79,0.01,1.16
285.2665,0,0,0.79,0.01,1.16
285.3663,0,0,0.79,0.01,1.16
285.4663,0,0,0.79,0.01,1.16
285.5662,0,0,0.79,0.01,1.16
285.6662,0,0,0.79,0.01,1.17
285.7664,0,0,0.79,0.01,1.17
285.8663,0,0,0.79,0.01,1.17
285.9663,0,0,0.79,0.01,1.17
286.0664,0,0,0.79,0.01,1.17
286.1663,0,0,0.79,0.01,1.16
286.2663,0,0,0.79,0.01,1.17
286.3662,0,0,0.79,0.01,1.17
286.4663,0,0,0.79,0.01,1.17
286.5665,0,0,0.79,0.01,1.17
286.6665,0,0,0.79,0.01,1.17
286.7664,0,0,0.79,0.01,1.17
286.8662,0,0,0.79,0.01,1.17
286.9663,0,0,0.79,0.01,1.17
287.0663,0,0,0.79,0.01,1.17
287.1663,0,0,0.79,0.01,1.17
287.2663,0,0,0.79,0.01,1.17
287.3665,0,0,0.79,0.01,1.17
287.4663,0,0,0.79,0.01,1.17
287.5662,0,0,0.79,0.01,1.17
287.6663,0,0,0.79,0.01,1.17
287.7663,0,0,0.79,0.01,1.17
287.8663,0,0,0.79,0.01,1.17
287.9663,0,0,0.79,0.01,1.17
288.0662,0,0,0.79,0.01,1.17
288.1665,0,0,0.79,0.01,1.17
288.2665,0,0,0.79,0.01,1.17
288.3662,0,0,0.79,0.01,1.17
288.4663,0,0,0.79,0.01,1.18
288.5661,0,0,0.79,0.01,1.18
288.7693,0,0,0.79,0.01,1.18
288.7852,0,0,0.79,0.01,1.18
288.8662,0,0,0.79,0.01,1.18
288.9663,0,0,0.79,0.01,1.18
289.0662,0,0,0.79,0.01,1.18
289.1662,0,0,0.79,0.01,1.18
289.2662,0,0,0.79,0.01,1.18
289.3662,0,0,0.79,0.01,1.18
289.4663,0,0,0.79,0.01,1.18
289.5663,0,0,0.79,0.01,1.18
289.6663,0,0,0.79,0.01,1.18
289.7665,0,0,0.79,0.01,1.18
289.8665,0,0,0.79,0.01,1.18
289.9662,0,0,0.79,0.01,1.18
290.0662,0,0,0.79,0.01,1.18
290.1662,0,0,0.79,0.01,1.18
290.2661,0,0,0.79,0.01,1.18
290.3661,0,0,0.79,0.01,1.18
290.4662,0,0,0.79,0.01,1.18
290.5663,0,0,0.79,0.01,1.18
