Blue
Timestamp,Enabled,Vision,X,Y,Rotation
10.6070,0,0,0.00,0.00,0.06
10.6762,0,0,0.00,0.00,0.06
10.6895,0,0,0.00,0.00,0.06
10.7275,0,0,0.00,0.00,0.05
10.7391,0,0,0.00,0.00,0.05
10.7764,0,0,0.00,0.00,0.05
10.7934,0,0,0.00,0.00,0.06
10.8952,0,0,0.00,0.00,0.05
10.9957,0,0,0.00,0.00,0.05
11.0922,0,0,0.00,0.00,0.05
11.1994,0,0,0.00,0.00,0.05
11.2927,0,0,0.00,0.00,0.05
11.3945,0,0,0.00,0.00,0.05
11.4940,0,0,0.00,0.00,0.05
11.5942,0,0,0.00,0.00,0.06
11.6951,0,0,0.00,0.00,0.09
11.7930,0,0,0.00,0.00,0.23
11.8956,0,0,-0.06,-0.00,0.82
11.9932,0,0,-0.13,-0.00,0.96
12.0952,0,0,-0.28,-0.00,0.96
12.1917,0,0,-0.40,-0.01,0.90
12.2943,0,0,-0.42,-0.01,0.85
12.3917,0,0,-0.40,-0.01,0.80
12.4920,0,0,-0.40,-0.01,0.76
12.5938,0,0,-0.40,-0.01,0.64
12.6937,0,0,-0.62,-0.01,0.64
12.7929,0,0,-0.96,-0.01,0.56
12.8944,0,0,-1.29,-0.02,0.55
12.9938,0,0,-1.53,-0.02,0.50
13.0921,0,0,-1.61,-0.02,0.42
13.1929,0,0,-1.63,-0.02,0.36
13.2994,0,0,-1.66,-0.02,0.23
13.3996,0,0,-1.87,-0.02,0.21
13.4993,0,0,-2.19,-0.02,0.07
13.5993,0,0,-2.48,-0.02,0.06
13.6994,0,0,-2.59,-0.02,0.09
13.7994,0,0,-2.59,-0.02,0.13
13.8995,0,0,-2.59,-0.02,0.15
13.9994,0,0,-2.59,-0.02,0.07
14.0994,0,0,-2.59,-0.02,0.04
14.1994,0,0,-2.57,-0.02,0.06
14.2993,0,0,-2.52,-0.02,0.05
14.3993,0,0,-2.52,-0.02,0.03
14.4994,0,0,-2.48,-0.02,0.11
14.5994,0,0,-2.46,-0.02,0.21
14.6993,0,0,-2.46,-0.02,0.43
14.7998,0,0,-2.46,-0.02,0.37
14.8995,0,0,-2.46,-0.02,0.42
14.9993,0,0,-2.46,-0.02,0.56
15.0993,0,0,-2.46,-0.02,0.57
15.1993,0,0,-2.46,-0.02,0.53
15.2995,0,0,-2.46,-0.02,0.74
15.3993,0,0,-2.46,-0.02,0.81
15.4994,0,0,-2.48,-0.02,0.77
15.5992,0,0,-2.48,-0.02,0.70
15.6993,0,0,-2.52,-0.02,0.75
15.7993,0,0,-2.59,-0.02,0.73
15.8993,0,0,-2.65,-0.02,0.73
15.9994,0,0,-2.69,-0.02,0.74
16.0993,0,0,-2.69,-0.02,0.70
16.1993,0,0,-2.69,-0.02,0.66
16.2994,0,0,-2.69,-0.02,0.67
16.3992,0,0,-2.69,-0.02,0.65
16.4993,0,0,-2.69,-0.02,0.65
16.5993,0,0,-2.69,-0.02,0.65
16.6995,0,0,-2.69,-0.02,0.65
16.7996,0,0,-2.69,-0.02,0.65
16.8993,0,0,-2.69,-0.02,0.65
17.0011,0,0,-2.69,-0.02,0.65
17.0992,0,0,-2.69,-0.02,0.65
17.1992,0,0,-2.69,-0.02,0.65
17.2992,0,0,-2.69,-0.02,0.65
17.3992,0,0,-2.69,-0.02,0.65
17.4997,0,0,-2.69,-0.02,0.65
17.5992,0,0,-2.69,-0.02,0.65
17.6992,0,0,-2.69,-0.02,0.65
17.7993,0,0,-2.69,-0.02,0.65
17.8992,0,0,-2.69,-0.02,0.65
17.9995,0,0,-2.69,-0.02,0.65
18.0993,0,0,-2.69,-0.02,0.65
18.1992,0,0,-2.69,-0.02,0.65
18.2992,0,0,-2.69,-0.02,0.65
18.8245,0,0,-2.69,-0.02,0.65
18.8663,0,0,-2.69,-0.02,0.65
18.8826,0,0,-2.69,-0.02,0.65
18.8992,0,0,-2.69,-0.02,0.65
18.9139,0,0,-2.69,-0.02,0.65
18.9273,0,0,-2.69,-0.02,0.65
18.9924,0,0,-2.69,-0.02,0.65
19.0993,0,0,-2.69,-0.02,0.65
19.1992,0,0,-2.69,-0.02,0.65
19.2994,0,0,-2.69,-0.02,0.65
19.3994,0,0,-2.69,-0.02,0.65
19.4992,0,0,-2.69,-0.02,0.65
19.5992,0,0,-2.69,-0.02,0.65
19.6993,0,0,-2.69,-0.02,0.65
19.7995,0,0,-2.69,-0.02,0.65
19.8992,0,0,-2.69,-0.02,0.65
19.9992,0,0,-2.69,-0.02,0.64
20.0991,0,0,-2.69,-0.02,0.65
20.1993,0,0,-2.69,-0.02,0.64
20.2993,0,0,-2.69,-0.02,0.65
20.3995,0,0,-2.69,-0.02,0.65
20.4995,0,0,-2.69,-0.02,0.67
20.5992,0,0,-2.69,-0.02,0.72
20.6992,0,0,-2.69,-0.02,0.96
20.7992,0,0,-2.69,-0.02,1.07
20.8992,0,0,-2.52,-0.02,1.34
20.9994,0,0,-2.18,-0.01,1.44
21.0993,0,0,-2.01,-0.01,1.76
21.1992,0,0,-1.87,-0.00,1.82
21.2992,0,0,-1.89,-0.00,1.63
21.3998,0,0,-1.89,-0.00,1.56
21.4994,0,0,-1.89,-0.00,1.55
21.5992,0,0,-1.89,-0.00,1.56
21.6994,0,0,-1.89,-0.00,1.57
21.7992,0,0,-1.89,-0.00,1.57
21.8996,0,0,-1.89,-0.00,1.56
21.9993,0,0,-1.89,-0.00,1.56
22.0991,0,0,-1.89,-0.00,1.56
22.1993,0,0,-1.89,-0.00,1.56
22.2993,0,0,-1.89,-0.00,1.56
22.3992,0,0,-1.89,-0.00,1.57
22.4993,0,0,-1.89,-0.00,1.57
22.5994,0,0,-1.89,-0.00,1.57
22.6992,0,0,-1.89,-0.00,1.57
22.7995,0,0,-1.89,-0.00,1.57
22.8993,0,0,-1.89,-0.00,1.57
22.9991,0,0,-1.89,-0.00,1.58
23.0995,0,0,-1.89,-0.00,1.58
23.1992,0,0,-1.89,-0.00,1.58
23.2994,0,0,-1.89,-0.00,1.58
23.3992,0,0,-1.89,-0.00,1.58
23.4995,0,0,-1.89,-0.00,1.58
23.5992,0,0,-1.89,-0.00,1.58
23.6992,0,0,-1.89,-0.00,1.58
23.7992,0,0,-1.89,-0.00,1.58
23.8991,0,0,-1.89,-0.00,1.58
23.9993,0,0,-1.89,-0.00,1.59
24.0992,0,0,-1.89,-0.00,1.59
24.1992,0,0,-1.89,-0.00,1.59
24.2995,0,0,-1.89,-0.00,1.58
