Blue
Timestamp,Enabled,Vision,X,Y,Rotation
142.2017,0,0,0.00,0.00,0.70
142.2248,0,0,0.00,0.00,0.70
142.2331,0,0,0.00,0.00,0.70
142.2410,0,0,0.00,0.00,0.70
142.3073,0,0,0.00,0.00,0.70
142.4086,0,0,0.00,0.00,0.70
142.5062,0,0,0.00,0.00,0.70
142.6213,0,0,0.00,0.00,0.70
142.7212,0,0,0.00,0.00,0.70
142.8213,0,0,0.00,0.00,0.70
142.9212,0,0,0.00,0.00,0.71
143.0213,0,0,0.00,0.00,0.71
143.1212,0,0,0.00,0.00,0.71
143.2214,0,0,0.00,0.00,0.71
143.3291,0,0,0.00,0.00,0.71
143.4215,0,0,0.00,0.00,0.71
143.5212,0,0,0.00,0.00,0.71
143.6215,0,0,0.00,0.00,0.71
143.7212,0,0,0.00,0.00,0.71
143.8213,0,0,0.00,0.00,0.71
143.9213,0,0,0.00,0.00,0.71
144.0213,0,0,0.00,0.00,0.71
144.1216,0,0,0.00,0.00,0.71
144.2212,0,0,0.00,0.00,0.71
144.3217,0,0,0.00,0.00,0.71
144.4212,0,0,0.00,0.00,0.71
144.5212,0,0,0.00,0.00,0.71
144.6213,0,0,0.00,0.00,0.71
144.7212,0,0,0.00,0.00,0.71
144.8213,0,0,0.00,0.00,0.71
144.9212,0,0,0.00,0.00,0.71
145.0212,0,0,0.00,0.00,0.71
145.1213,0,0,0.00,0.00,0.71
145.2213,0,0,0.00,0.00,0.71
145.3213,0,0,0.00,0.00,0.71
145.4223,0,0,0.00,0.00,0.71
145.5212,0,0,0.00,0.00,0.71
145.6212,0,0,0.00,0.00,0.71
145.7214,0,0,0.00,0.00,0.70
145.8213,0,0,0.00,0.00,0.70
145.9212,0,0,0.00,0.00,0.70
146.0228,0,0,0.00,0.00,0.71
146.1213,0,0,0.00,0.00,0.71
146.2212,0,0,0.00,0.00,0.71
146.3212,0,0,0.00,0.00,0.71
146.4213,0,0,0.00,0.00,0.71
146.5212,0,0,0.00,0.00,0.71
146.6213,0,0,0.00,0.00,0.71
146.7213,0,0,0.00,0.00,0.71
146.8212,0,0,0.00,0.00,0.71
146.9212,0,0,0.00,0.00,0.71
147.0212,0,0,0.00,0.00,0.70
147.1214,0,0,0.00,0.00,0.70
147.2215,0,0,0.00,0.00,0.71
147.3212,0,0,0.00,0.00,0.71
147.4213,0,0,0.00,0.00,0.71
147.5213,0,0,0.00,0.00,0.71
147.6215,0,0,0.00,0.00,0.71
147.7212,0,0,0.00,0.00,0.71
147.8212,0,0,0.00,0.00,0.71
147.9225,0,0,0.00,0.00,0.70
148.0213,0,0,0.00,0.00,0.70
148.1213,0,0,0.00,0.00,0.70
148.2212,0,0,0.00,0.00,0.70
148.3212,0,0,0.00,0.00,0.70
148.4213,0,0,0.00,0.00,0.70
148.5214,0,0,0.00,0.00,0.71
148.6212,0,0,0.00,0.00,0.71
148.7212,0,0,0.00,0.00,0.70
148.8213,0,0,0.00,0.00,0.70
148.9212,0,0,0.00,0.00,0.71
149.0213,0,0,0.00,0.00,0.71
149.1214,0,0,0.00,0.00,0.71
149.2212,0,0,0.00,0.00,0.71
149.3212,0,0,0.00,0.00,0.71
149.4211,0,0,0.00,0.00,0.71
149.5212,0,0,0.00,0.00,0.71
149.6212,0,0,0.00,0.00,0.71
149.7212,0,0,0.00,0.00,0.71
149.8213,0,0,0.00,0.00,0.71
149.9213,0,0,0.00,0.00,0.71
150.0214,0,0,0.00,0.00,0.70
150.1215,0,0,0.00,0.00,0.70
150.2212,0,0,0.00,0.00,0.70
150.3212,0,0,0.00,0.00,0.70
150.4213,0,0,0.00,0.00,0.70
150.5212,0,0,0.00,0.00,0.70
150.6212,0,0,0.00,0.00,0.70
150.7217,0,0,0.00,0.00,0.70
150.8212,0,0,0.00,0.00,0.70
150.9212,0,0,0.00,0.00,0.70
151.0214,0,0,0.00,0.00,0.69
151.1213,0,0,0.00,0.00,0.70
151.2214,0,0,0.00,0.00,0.69
151.3213,0,0,0.00,0.00,0.69
151.4213,0,0,0.00,0.00,0.69
151.5213,0,0,0.00,0.00,0.69
151.6214,0,0,0.00,0.00,0.69
151.7212,0,0,0.00,0.00,0.69
151.8213,0,0,0.00,0.00,0.70
152.0326,0,0,0.00,0.00,0.70
152.0769,0,0,0.00,0.00,0.70
152.1082,0,0,0.00,0.00,0.70
152.2214,0,0,0.00,0.00,0.70
152.3213,0,0,0.00,0.00,0.70
152.4213,0,0,0.00,0.00,0.70
152.5213,0,0,0.00,0.00,0.70
152.6213,0,0,0.00,0.00,0.70
152.7212,0,0,0.00,0.00,0.70
152.8212,0,0,0.00,0.00,0.70
152.9213,0,0,0.00,0.00,0.70
153.0215,0,0,0.00,0.00,0.70
153.1213,0,0,0.00,0.00,0.70
153.2212,0,0,0.00,0.00,0.70
153.3212,0,0,0.00,0.00,0.71
153.4212,0,0,0.00,0.00,0.70
153.5215,0,0,0.00,0.00,0.71
153.6213,0,0,0.00,0.00,0.71
153.7214,0,0,0.00,0.00,0.71
153.8214,0,0,0.00,0.00,0.71
153.9212,0,0,0.00,0.00,0.71
154.0212,0,0,0.00,0.00,0.71
154.1212,0,0,0.00,0.00,0.71
154.2212,0,0,0.00,0.00,0.71
154.3212,0,0,0.00,0.00,0.71
154.4212,0,0,0.00,0.00,0.71
154.5215,0,0,0.00,0.00,0.71
154.6215,0,0,0.00,0.00,0.72
154.7213,0,0,0.00,0.00,0.71
154.8212,0,0,0.00,0.00,0.71
154.9213,0,0,0.00,0.00,0.71
155.0212,0,0,0.00,0.00,0.71
155.1212,0,0,0.00,0.00,0.71
155.2212,0,0,0.00,0.00,0.72
155.3213,0,0,0.00,0.00,0.72
155.4218,0,0,0.00,0.00,0.72
155.5215,0,0,0.00,0.00,0.72
155.6214,0,0,0.00,0.00,0.72
155.7212,0,0,0.00,0.00,0.72
155.8214,0,0,0.00,0.00,0.72
155.9212,0,0,0.00,0.00,0.72
156.0212,0,0,0.00,0.00,0.72
156.1213,0,0,0.00,0.00,0.72
156.2212,0,0,0.00,0.00,0.73
156.3212,0,0,0.00,0.00,0.73
156.4213,0,0,0.00,0.00,0.73
156.5214,0,0,0.00,0.00,0.72
156.6214,0,0,0.00,0.00,0.72
156.7212,0,0,0.00,0.00,0.72
156.8215,0,0,0.00,0.00,0.72
156.9214,0,0,0.00,0.00,0.72
157.0213,0,0,0.00,0.00,0.72
157.1212,0,0,0.00,0.00,0.72
157.2213,0,0,0.00,0.00,0.72
157.3212,0,0,0.00,0.00,0.72
