Blue
Timestamp,Enabled,Vision,X,Y,Rotation
137.9053,0,0,0.00,0.00,0.55
138.0058,0,0,0.00,0.00,0.55
138.1038,0,0,0.00,0.00,0.54
138.2229,0,0,0.00,0.00,0.55
138.3227,0,0,0.00,0.00,0.55
138.4229,0,0,0.00,0.00,0.55
138.5040,0,0,0.00,0.00,0.55
138.6227,0,0,0.00,0.00,0.55
138.7229,0,0,0.00,0.00,0.55
138.8045,0,0,0.00,0.00,0.55
138.9243,0,0,0.00,0.00,0.55
139.0227,0,0,0.00,0.00,0.55
139.1229,0,0,0.00,0.00,0.55
139.2029,0,0,0.00,0.00,0.55
139.3030,0,0,0.00,0.00,0.55
139.5250,0,0,0.00,0.00,0.55
139.5420,0,0,0.00,0.00,0.55
139.6043,0,0,0.00,0.00,0.54
139.7037,0,0,0.00,0.00,0.55
139.8227,0,0,0.00,0.00,0.55
139.9240,0,0,0.00,0.00,0.55
140.0238,0,0,0.00,0.00,0.55
140.1227,0,0,0.00,0.00,0.55
140.2229,0,0,0.00,0.00,0.55
140.3229,0,0,0.00,0.00,0.55
140.4233,0,0,0.00,0.00,0.55
140.5227,0,0,0.00,0.00,0.55
140.6036,0,0,0.00,0.00,0.55
140.7227,0,0,0.00,0.00,0.55
140.8230,0,0,0.00,0.00,0.55
140.9226,0,0,0.00,0.00,0.55
141.0030,0,0,0.00,0.00,0.55
141.1238,0,0,0.00,0.00,0.55
141.2227,0,0,0.00,0.00,0.55
141.3030,0,0,0.00,0.00,0.55
141.4034,0,0,0.00,0.00,0.55
141.5228,0,0,0.00,0.00,0.55
141.6029,0,0,0.00,0.00,0.56
141.7227,0,0,0.00,0.00,0.56
141.8227,0,0,0.00,0.00,0.56
141.9227,0,0,0.00,0.00,0.56
142.0237,0,0,0.00,0.00,0.56
142.1229,0,0,0.00,0.00,0.56
142.2236,0,0,0.00,0.00,0.56
142.3236,0,0,0.00,0.00,0.56
142.4228,0,0,0.00,0.00,0.56
142.5228,0,0,0.00,0.00,0.56
142.6039,0,0,0.00,0.00,0.56
142.7227,0,0,0.00,0.00,0.56
142.8033,0,0,0.00,0.00,0.56
142.9035,0,0,0.00,0.00,0.56
143.0239,0,0,0.00,0.00,0.56
143.1030,0,0,0.00,0.00,0.57
143.2030,0,0,0.00,0.00,0.56
143.3230,0,0,0.00,0.00,0.56
143.4229,0,0,0.00,0.00,0.56
143.5228,0,0,0.00,0.00,0.57
143.6036,0,0,0.00,0.00,0.57
143.7233,0,0,0.00,0.00,0.57
143.8229,0,0,0.00,0.00,0.57
143.9227,0,0,0.00,0.00,0.57
144.0228,0,0,0.00,0.00,0.57
144.1227,0,0,0.00,0.00,0.57
144.2228,0,0,0.00,0.00,0.57
144.3031,0,0,0.00,0.00,0.57
144.4037,0,0,0.00,0.00,0.57
144.5229,0,0,0.00,0.00,0.57
144.6030,0,0,0.00,0.00,0.57
